"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Order__c","nFORCE__Route__c","nFORCE__Tile__c","nFORCE__lookupKey__c","AutorabitExtId__c"
"a3WDR000000l8xq2AA","0058c00000BxeO9AAJ","false","RT-001643","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","1.0","a2EDR000003VV8W2AW","a3XDR000000ygAD2AY","42850608042426104",""
"a3WDR000000l8xr2AA","0058c00000BxeO9AAJ","false","RT-001644","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","20.0","a2EDR000003VVJ32AO","a3XDR000000ygAE2AY","42120743676366804",""
"a3WDR000000l8xs2AA","0058c00000BxeO9AAJ","false","RT-001645","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","250.0","a2EDR000003VV7m2AG","a3XDR000000ygAF2AY","42970473641799781",""
"a3WDR000000l8xt2AA","0058c00000BxeO9AAJ","false","RT-001646","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","719001.0","a2EDR000003VV932AG","a3XDR000000ygAG2AY","42567797961436229",""
"a3WDR000000l8xu2AA","0058c00000BxeO9AAJ","false","RT-001647","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","527.0","a2EDR000003VV932AG","a3XDR000000ygAH2AY","424716680425130250",""
"a3WDR000000l8xv2AA","0058c00000BxeO9AAJ","false","RT-001648","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","125.0","a2EDR000003VV932AG","a3XDR000000ygAI2AY","42581099535061644",""
"a3WDR000000l8xw2AA","0058c00000BxeO9AAJ","false","RT-001649","2024-08-26T17:56:29.000Z","0058c00000BxeO9AAJ","2024-08-26T18:26:10.000Z","0058c00000BxeO9AAJ","2025-08-05T11:18:37.000Z","","","10.0","a2EDR000003VVAX2A4","a3XDR000000ygAF2AY","42183052711966527",""
