"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Order__c","nFORCE__Screen_Section__c","nFORCE__Screen__c","nFORCE__Type__c","nFORCE__lookupKey__c"
"a3vDR000000clzHYAQ","0058c00000BxeO9AAJ","false","a3vHo000000dLOC","2024-08-26T17:55:15.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0.0","a2FDR000004GkaQ2AS","a2GDR0000018DtF2AU","","a3vHo000000dLOCIA2"
"a3vDR000000clzIYAQ","0058c00000BxeO9AAJ","false","a3vHo000000dLOD","2024-08-26T17:55:15.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","1.0","a2FDR000004GkaP2AS","a2GDR0000018DtF2AU","","a3vHo000000dLODIA2"
"a3vDR000000clzJYAQ","0058c00000BxeO9AAJ","false","a3v4W000002FJA1","2024-08-26T17:55:15.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0.0","a2FDR000004GkaQ2AS","a2GDR0000018DtF2AU","","a3v4W000002FJA1QAO"
"a3vDR000000clzKYAQ","0058c00000BxeO9AAJ","false","a3v4W000002FJA2","2024-08-26T17:55:15.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","1.0","a2FDR000004GkaP2AS","a2GDR0000018DtF2AU","","a3v4W000002FJA2QAO"
"a3vDR000000clzLYAQ","0058c00000BxeO9AAJ","false","a3v8c000001QBYc","2024-08-26T17:55:15.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0.0","a2FDR000004GkaQ2AS","a2GDR0000018DtF2AU","","a3v8c000001QBYcAAO"
"a3vDR000000clzMYAQ","0058c00000BxeO9AAJ","false","a3v8c000001QBYd","2024-08-26T17:55:15.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","0058c00000BxeO9AAJ","2025-09-26T06:52:26.000Z","1.0","a2FDR000004GkaP2AS","a2GDR0000018DtF2AU","","a3v8c000001QBYdAAO"
